ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	PubMed ID	subunits(Protein name)	subunits(Gene name)	subunits(Gene name syn)	Disease comment	Subunits comment	Complex comment	SWISSPROT organism
311	Cell cycle kinase complex CDK2	Human	None	None	P12004;P24385;P24941;P38936	5111;595;1017;1026	MI:0006- anti bait coimmunoprecipitation	GO:0000278	mitotic cell cycle	10.03.01.01	mitotic cell cycle	7903056	Proliferating cell nuclear antigen;G1/S-specific cyclin-D1;Cyclin-dependent kinase 2;Cyclin-dependent kinase inhibitor 1	PCNA;CCND1;CDK2;CDKN1A	None;BCL1 PRAD1;CDKN2;CAP20 CDKN1 CIP1 MDA6 PIC1 SDI1 WAF1	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
312	Cell cycle kinase complex CDK4	Human	None	None	P11802;P12004;P24385;P38936	1019;5111;595;1026	MI:0006- anti bait coimmunoprecipitation	GO:0000278	mitotic cell cycle	10.03.01.01	mitotic cell cycle	7903056	Cyclin-dependent kinase 4 ;Proliferating cell nuclear antigen;G1/S-specific cyclin-D1;Cyclin-dependent kinase inhibitor 1	CDK4;PCNA;CCND1;CDKN1A	;None;BCL1 PRAD1;CAP20 CDKN1 CIP1 MDA6 PIC1 SDI1 WAF1	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
313	Cell cycle kinase complex CDK5	Human	None	None	P12004;P24385;P30281;P38936;Q00535	5111;595;896;1026;1020	MI:0006- anti bait coimmunoprecipitation	GO:0000278;GO:0006468;GO:0006470;GO:0046777	mitotic cell cycle;protein phosphorylation;protein dephosphorylation;protein autophosphorylation	10.03.01.01;14.07.03	mitotic cell cycle;modification by phosphorylation, dephosphorylation, autophosphorylation	7903056	Proliferating cell nuclear antigen;G1/S-specific cyclin-D1;G1/S-specific cyclin-D3;Cyclin-dependent kinase inhibitor 1 ;Cyclin-dependent-like kinase 5	PCNA;CCND1;CCND3;CDKN1A;CDK5	None;BCL1 PRAD1;;CAP20 CDKN1 CIP1 MDA6 PIC1 SDI1 WAF1;CDKN5	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
314	PCNA-p21 complex	Human	None	None	P12004;P38936	5111;1026	MI:0114- x-ray crystallography	GO:0000075;GO:0005634	cell cycle checkpoint;nucleus	10.03.01.03;70.10	cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);nucleus	8861913	Proliferating cell nuclear antigen;Cyclin-dependent kinase inhibitor 1	PCNA;CDKN1A	None;CAP20 CDKN1 CIP1 MDA6 PIC1 SDI1 WAF1	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
315	28S ribosomal subunit, mitochondrial	Human	Small ribosomal subunit, mitochondrial	None	O15235;O60783;P51398;P82650;P82663;P82664;P82673;P82675;P82909;P82912;P82914;P82921;P82930;P82932;P82933;Q92552;Q92665;Q96EL2;Q9BYN8;Q9NP92;Q9NVS2;Q9Y291;Q9Y2Q9;Q9Y2R5;Q9Y2R9;Q9Y399;Q9Y3D3;Q9Y3D5;Q9Y3D9;Q9Y676	6183;63931;7818;56945;64432;55173;None;64969;92259;64963;64960;54460;65993;64968;64965;23107;10240;64951;64949;10884;55168;51650;28957;51373;51081;51116;51021;51023;51649;28973	MI:0363- inferred by author	GO:0006412;GO:0005759	translation;mitochondrial matrix	12.04;70.16.07	translation;mitochondrial matrix	14681386	28S ribosomal protein S12, mitochondrial ;28S ribosomal protein S14, mitochondrial ;28S ribosomal protein S29, mitochondrial ;28S ribosomal protein S22, mitochondrial ;28S ribosomal protein S25, mitochondrial ;28S ribosomal protein S10, mitochondrial ;28S ribosomal protein S35, mitochondrial ;28S ribosomal protein S5, mitochondrial ;28S ribosomal protein S36, mitochondrial ;28S ribosomal protein S11, mitochondrial ;28S ribosomal protein S15, mitochondrial ;28S ribosomal protein S21, mitochondrial ;28S ribosomal protein S34, mitochondrial ;28S ribosomal protein S6, mitochondrial ;28S ribosomal protein S9, mitochondrial ;28S ribosomal protein S27, mitochondrial ;28S ribosomal protein S31, mitochondrial ;28S ribosomal protein S24, mitochondrial ;28S ribosomal protein S26, mitochondrial ;28S ribosomal protein S30, mitochondrial ;28S ribosomal protein S18a, mitochondrial ;28S ribosomal protein S33, mitochondrial ;28S ribosomal protein S28, mitochondrial ;28S ribosomal protein S17, mitochondrial ;28S ribosomal protein S7, mitochondrial ;28S ribosomal protein S2, mitochondrial ;28S ribosomal protein S16, mitochondrial ;28S ribosomal protein S18c, mitochondrial ;28S ribosomal protein S23, mitochondrial ;28S ribosomal protein S18b, mitochondrial	MRPS12;MRPS14;DAP3;MRPS22;MRPS25;MRPS10;MRPS35;MRPS5;MRPS36;MRPS11;MRPS15;MRPS21;MRPS34;MRPS6;MRPS9;MRPS27;MRPS31;MRPS24;MRPS26;MRPS30;MRPS18A;MRPS33;MRPS28;MRPS17;MRPS7;MRPS2;MRPS16;MRPS18C;MRPS23;MRPS18B	RPMS12 RPSM12;;MRPS29;C3orf5 RPMS22;RPMS25;;MRPS28;;;RPMS11;RPMS15;RPMS21;;C21orf101 RPMS6;RPMS9;KIAA0264;IMOGN38;;C20orf193 RPMS13;PDCD9;;;MRPS35;RPMS17;;;RPMS16;;;C6orf14	None	None	With the exception of MRPS12, all proteins of the small ribosomal subunit from ribosomes of Bos taurus were identified in a proteomic approach (PMID:11279123).	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
316	Dystrophin associated complex DPC (Dmd, Dtnb), brain-derived	Rat	None	brain neurons	P11530;P84060	24907;362715	MI:0019-coimmunoprecipitation	GO:0007268;GO:0007043	synaptic transmission;cell-cell junction assembly	34.03.01;42.06.04	synaptic transmission;intercellular junction (gap junction/adherens junction)	10545507	Dystrophin;Dystrobrevin beta	Dmd;Dtnb	None;None	Dmd is involved in DUCHENNE muscular dystrophy (DMD).	None	The authors demonstrate that beta-dystrobrevin is part of a neuronal DPC-like complex and suggest that it may be involved in the compound phenotype of cognitive dysfunction in DMD patients.	Rattus norvegicus (Rat);Rattus norvegicus (Rat)
317	Dystrobrevin-syntrophin complex, brain-derived	Mouse	None	brain	O70585;P11531;Q61234;Q9D2N4	13528;13405;20648;13527	MI:0019-coimmunoprecipitation	GO:0007268;GO:0005886	synaptic transmission;plasma membrane	34.03.01;70.02	synaptic transmission;eukaryotic plasma membrane / membrane attached	10545507	Dystrobrevin beta;Dystrophin;Alpha-1-syntrophin;Dystrobrevin alpha	Dtnb;Dmd;Snta1;Dtna	None;None;Snt1;Dtn	None	The mouse dystrophin was described as Dp71, the authors differentiate between alpha-dystrobrevin 1 and alpha-dystrobrevin 2.Since the authors did not specify syntrophin, we used Snta1.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
318	Muscle-derived dystrobrevin-syntrophin complex	Mouse	None	muscle	Q61234;Q9D2N4	20648;13527	MI:0019-coimmunoprecipitation	GO:0006936	muscle contraction	36.25.09	muscle contraction	10545507	Alpha-1-syntrophin;Dystrobrevin alpha	Snta1;Dtna	Snt1;Dtn	None	The authors differentiate between alpha-dystrobrevin 1 and alpha-dystrobrevin 2.Since the authors did not specify syntrophin, we used Snta1.	None	Mus musculus (Mouse);Mus musculus (Mouse)
320	55S ribosome, mitochondrial	Human	None	None	O15235;O60783;O75394;P09001;P49406;P51398;P52815;P82650;P82663;P82664;P82673;P82675;P82909;P82912;P82914;P82921;P82930;P82932;P82933;P83111;Q13084;Q13405;Q16540;Q4U2R6;Q5T653;Q6P161;Q6P1L8;Q7Z2W9;Q7Z7F7;Q7Z7H8;Q86TS9;Q8IXM3;Q8N5N7;Q8N983;Q8TCC3;Q92552;Q92665;Q96A35;Q96DV4;Q96EL2;Q96EL3;Q96GC5;Q9BQ48;Q9BRJ2;Q9BYC8;Q9BYC9;Q9BYD1;Q9BYD2;Q9BYD3;Q9BYD6;Q9BYN8;Q9BZE1;Q9H0U6;Q9H2W6;Q9H9J2;Q9HD33;Q9NP92;Q9NQ50;Q9NRX2;Q9NVS2;Q9NWU5;Q9NX20;Q9NYK5;Q9NZE8;Q9P015;Q9P0J6;Q9P0M9;Q9Y291;Q9Y2Q9;Q9Y2R5;Q9Y2R9;Q9Y399;Q9Y3B7;Q9Y3D3;Q9Y3D5;Q9Y3D9;Q9Y676;Q9Y6G3	6183;63931;9553;11222;9801;7818;6182;56945;64432;55173;None;64969;92259;64963;64960;54460;65993;64968;64965;114294;10573;740;6150;51258;51069;116541;64928;219927;128308;124995;122704;64975;54534;84545;51263;23107;10240;79590;64978;64951;116540;51642;64981;84311;64983;55052;28998;65005;51073;65008;64949;51253;29074;26589;65080;57129;10884;64976;63875;55168;29093;54948;54148;51318;29088;64979;51264;51650;28957;51373;51081;51116;65003;51021;51023;51649;28973;28977	MI:0363- inferred by author	GO:0006412;GO:0005759	translation;mitochondrial matrix	12.04;70.16.07	translation;mitochondrial matrix	14681386	28S ribosomal protein S12, mitochondrial ;28S ribosomal protein S14, mitochondrial ;39S ribosomal protein L33, mitochondrial ;39S ribosomal protein L3, mitochondrial ;39S ribosomal protein L19, mitochondrial ;28S ribosomal protein S29, mitochondrial ;39S ribosomal protein L12, mitochondrial ;28S ribosomal protein S22, mitochondrial ;28S ribosomal protein S25, mitochondrial ;28S ribosomal protein S10, mitochondrial ;28S ribosomal protein S35, mitochondrial ;28S ribosomal protein S5, mitochondrial ;28S ribosomal protein S36, mitochondrial ;28S ribosomal protein S11, mitochondrial ;28S ribosomal protein S15, mitochondrial ;28S ribosomal protein S21, mitochondrial ;28S ribosomal protein S34, mitochondrial ;28S ribosomal protein S6, mitochondrial ;28S ribosomal protein S9, mitochondrial ;Serine beta-lactamase-like protein LACTB, mitochondrial ;39S ribosomal protein L28, mitochondrial ;39S ribosomal protein L49, mitochondrial ;39S ribosomal protein L23, mitochondrial ;39S ribosomal protein L51, mitochondrial ;39S ribosomal protein L2, mitochondrial ;39S ribosomal protein L54, mitochondrial ;39S ribosomal protein L14, mitochondrial ;39S ribosomal protein L21, mitochondrial ;39S ribosomal protein L55, mitochondrial ;39S ribosomal protein L10, mitochondrial ;39S ribosomal protein L52, mitochondrial ;39S ribosomal protein L41, mitochondrial ;39S ribosomal protein L50, mitochondrial ;39S ribosomal protein L43, mitochondrial ;39S ribosomal protein L30, mitochondrial ;28S ribosomal protein S27, mitochondrial ;28S ribosomal protein S31, mitochondrial ;39S ribosomal protein L24, mitochondrial ;39S ribosomal protein L38, mitochondrial ;28S ribosomal protein S24, mitochondrial ;39S ribosomal protein L53, mitochondrial ;39S ribosomal protein L48, mitochondrial ;39S ribosomal protein L34, mitochondrial ;39S ribosomal protein L45, mitochondrial ;39S ribosomal protein L32, mitochondrial ;39S ribosomal protein L20, mitochondrial ;39S ribosomal protein L13, mitochondrial ;39S ribosomal protein L9, mitochondrial ;39S ribosomal protein L4, mitochondrial ;39S ribosomal protein L1, mitochondrial ;28S ribosomal protein S26, mitochondrial ;39S ribosomal protein L37, mitochondrial ;39S ribosomal protein L18, mitochondrial ;39S ribosomal protein L46, mitochondrial ;39S ribosomal protein L44, mitochondrial ;39S ribosomal protein L47, mitochondrial ;28S ribosomal protein S30, mitochondrial ;39S ribosomal protein L40, mitochondrial ;39S ribosomal protein L17, mitochondrial ;28S ribosomal protein S18a, mitochondrial ;39S ribosomal protein L22, mitochondrial ;39S ribosomal protein L16, mitochondrial ;39S ribosomal protein L39, mitochondrial ;39S ribosomal protein L35, mitochondrial ;39S ribosomal protein L15, mitochondrial ;39S ribosomal protein L36, mitochondrial ;39S ribosomal protein L27, mitochondrial ;28S ribosomal protein S33, mitochondrial ;28S ribosomal protein S28, mitochondrial ;28S ribosomal protein S17, mitochondrial ;28S ribosomal protein S7, mitochondrial ;28S ribosomal protein S2, mitochondrial ;39S ribosomal protein L11, mitochondrial ;28S ribosomal protein S16, mitochondrial ;28S ribosomal protein S18c, mitochondrial ;28S ribosomal protein S23, mitochondrial ;28S ribosomal protein S18b, mitochondrial ;39S ribosomal protein L42, mitochondrial	MRPS12;MRPS14;MRPL33;MRPL3;MRPL19;DAP3;MRPL12;MRPS22;MRPS25;MRPS10;MRPS35;MRPS5;MRPS36;MRPS11;MRPS15;MRPS21;MRPS34;MRPS6;MRPS9;LACTB;MRPL28;MRPL49;MRPL23;MRPL51;MRPL2;MRPL54;MRPL14;MRPL21;MRPL55;MRPL10;MRPL52;MRPL41;MRPL50;MRPL43;MRPL30;MRPS27;MRPS31;MRPL24;MRPL38;MRPS24;MRPL53;MRPL48;MRPL34;MRPL45;MRPL32;MRPL20;MRPL13;MRPL9;MRPL4;MRPL1;MRPS26;MRPL37;MRPL18;MRPL46;MRPL44;MRPL47;MRPS30;MRPL40;MRPL17;MRPS18A;MRPL22;MRPL16;MRPL39;MRPL35;MRPL15;MRPL36;MRPL27;MRPS33;MRPS28;MRPS17;MRPS7;MRPS2;MRPL11;MRPS16;MRPS18C;MRPS23;MRPS18B;MRPL42	RPMS12 RPSM12;;C2orf1;MRL3 RPML3;KIAA0104 MRPL15;MRPS29;RPML12;C3orf5 RPMS22;RPMS25;;MRPS28;;;RPMS11;RPMS15;RPMS21;;C21orf101 RPMS6;RPMS9;MRPL56;MAAT1;C11orf4 NOF1;L23MRP RPL23L;MRP64;;;MRPL32 RPML32;;;MRPL8 RPML8;;BMRP MRPL27 RPML27;;;MRPL28 RPML28;KIAA0264;IMOGN38;;;;;;;;;;;;;;C20orf193 RPMS13;MRPL2 RPML2;;C15orf4 LIECG2;;NCM1;PDCD9;NLVCF URIM;LIP2;;MRPL25 RPML25;;C21orf92 MRPL5 RPML5;;;BRIP1;;;MRPS35;RPMS17;;;;RPMS16;;;C6orf14;MRPL31 MRPS32 RPML31	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
321	p27-cyclinD2-Cdk4 complex	Mammalia	None	None	P30280;P30285;P46529	12444;12567;None	MI:0006- anti bait coimmunoprecipitation	GO:0007050;GO:0050789;GO:0005634	cell cycle arrest;regulation of biological process;nucleus	10.03.01.02;18;70.10	cell cycle arrest;REGULATION OF METABOLISM AND PROTEIN FUNCTION;nucleus	9325318	G1/S-specific cyclin-D2;Cyclin-dependent kinase 4 ;Cyclin-dependent kinase inhibitor 1B	Ccnd2;Cdk4;CDKN1B	Cyl-2;Crk3;	None	Since Ccnd2 and Cdk4 from mink were not available in the UniProt database at the time of annotation, the orthologous proteins from mouse were taken.	p27 inhibits kinase activity of cyclinD2-CDK4.	Mus musculus (Mouse);Mus musculus (Mouse);Neovison vison (American mink) (Mustela vison)
322	DNA-PK-Ku complex	Human	DNA-PK-Ku70-Ku80 complex	None	P12956;P13010;P78527	2547;7520;5591	MI:0040- electron microscopy; MI:0029- cosedimentation through density gradients	GO:0009299;GO:0006468;GO:0006470;GO:0046777;GO:0003677;GO:0006464;GO:0043085;GO:0008047;GO:0005634	mRNA transcription;protein phosphorylation;protein dephosphorylation;protein autophosphorylation;DNA binding;cellular protein modification process;positive regulation of catalytic activity;enzyme activator activity;nucleus	11.02.03;14.07.03;16.03.01;14.07;18.02.01.01;70.10	mRNA synthesis;modification by phosphorylation, dephosphorylation, autophosphorylation;DNA binding;protein modification;enzyme activator;nucleus	16713581	X-ray repair cross-complementing protein 6 ;X-ray repair cross-complementing protein 5 ;DNA-dependent protein kinase catalytic subunit	XRCC6;XRCC5;PRKDC	G22P1;G22P2;HYRC HYRC1	None	None	For assembly of the DNA-PK-Ku70-Ku80 complex presence of DNA is necessary. DNA-bound Ku directs the recruitment of the catalytic subunit DNA-Pk via a small helical domain at the C-terminus of Ku80.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
323	28S ribosomal subunit, mitochondrial	Bovine	Small ribosomal subunit, mitochondrial	None	P82649;P82669;P82670;P82908;P82911;P82913;P82915;P82916;P82917;P82918;P82919;P82920;P82922;P82923;P82924;P82925;P82926;P82927;P82928;P82929;P82931;Q2KID9;Q2M2T7;Q2NL27;Q2YDF6;Q32PI8;Q3SZ86;Q3T040;Q58DQ5;Q6B860	532044;533011;515885;613835;509816;508928;510899;None;613561;None;614102;614343;504320;505681;516084;534185;523435;614148;535290;618357;615431;512469;None;515228;513438;514740;516004;509115;519302;445421	MI:0028- cosedimentation in solution; MI:0029- cosedimentation through density gradients	GO:0006412;GO:0005759	translation;mitochondrial matrix	12.04;70.16.07	translation;mitochondrial matrix	11279123	28S ribosomal protein S22, mitochondrial ;28S ribosomal protein S25, mitochondrial ;28S ribosomal protein S10, mitochondrial ;28S ribosomal protein S36, mitochondrial ;28S ribosomal protein S11, mitochondrial ;28S ribosomal protein S15, mitochondrial ;28S ribosomal protein S16, mitochondrial ;28S ribosomal protein S17, mitochondrial ;28S ribosomal protein S18c, mitochondrial ;28S ribosomal protein S18b, mitochondrial ;28S ribosomal protein S18a, mitochondrial ;28S ribosomal protein S21, mitochondrial ;28S ribosomal protein S29, mitochondrial ;28S ribosomal protein S2, mitochondrial ;28S ribosomal protein S30, mitochondrial ;28S ribosomal protein S31, mitochondrial ;28S ribosomal protein S33, mitochondrial ;39S ribosomal protein L42, mitochondrial ;28S ribosomal protein S28, mitochondrial ;28S ribosomal protein S34, mitochondrial ;28S ribosomal protein S6, mitochondrial ;28S ribosomal protein S5, mitochondrial ;28S ribosomal protein S24, mitochondrial ;28S ribosomal protein S23, mitochondrial ;28S ribosomal protein S35, mitochondrial ;28S ribosomal protein S27, mitochondrial ;28S ribosomal protein S26, mitochondrial ;28S ribosomal protein S7, mitochondrial ;28S ribosomal protein S9, mitochondrial ;28S ribosomal protein S14, mitochondrial	MRPS22;MRPS25;MRPS10;MRPS36;MRPS11;MRPS15;MRPS16;MRPS17;MRPS18C;MRPS18B;MRPS18A;MRPS21;DAP3;MRPS2;MRPS30;MRPS31;MRPS33;MRPL42;MRPS28;MRPS34;MRPS6;MRPS5;MRPS24;MRPS23;MRPS35;MRPS27;MRPS26;MRPS7;MRPS9;MRPS14	;RPMS25;;;;RPMS15;RPMS16;RPMS17;;;;RPMS21;MRPS29;;;;;MRPS32;;;RPMS6;;;;MRPS28;;;;;	None	MRPS12 could not be identified in this study.	None	Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine)
324	39S ribosomal subunit, mitochondrial	Human	Large ribosomal subunit, mitochondrial	None	O75394;P09001;P49406;P52815;P83111;Q13084;Q13405;Q16540;Q4U2R6;Q5T653;Q6P161;Q6P1L8;Q7Z2W9;Q7Z7F7;Q7Z7H8;Q86TS9;Q8IXM3;Q8N5N7;Q8N983;Q8TCC3;Q96A35;Q96DV4;Q96EL3;Q96GC5;Q9BQ48;Q9BRJ2;Q9BYC8;Q9BYC9;Q9BYD1;Q9BYD2;Q9BYD3;Q9BYD6;Q9BZE1;Q9H0U6;Q9H2W6;Q9H9J2;Q9HD33;Q9NQ50;Q9NRX2;Q9NWU5;Q9NX20;Q9NYK5;Q9NZE8;Q9P015;Q9P0J6;Q9P0M9;Q9Y3B7;Q9Y6G3	9553;11222;9801;6182;114294;10573;740;6150;51258;51069;116541;64928;219927;128308;124995;122704;64975;54534;84545;51263;79590;64978;116540;51642;64981;84311;64983;55052;28998;65005;51073;65008;51253;29074;26589;65080;57129;64976;63875;29093;54948;54148;51318;29088;64979;51264;65003;28977	MI:0363- inferred by author	GO:0006412;GO:0005759	translation;mitochondrial matrix	12.04;70.16.07	translation;mitochondrial matrix	14681386	39S ribosomal protein L33, mitochondrial ;39S ribosomal protein L3, mitochondrial ;39S ribosomal protein L19, mitochondrial ;39S ribosomal protein L12, mitochondrial ;Serine beta-lactamase-like protein LACTB, mitochondrial ;39S ribosomal protein L28, mitochondrial ;39S ribosomal protein L49, mitochondrial ;39S ribosomal protein L23, mitochondrial ;39S ribosomal protein L51, mitochondrial ;39S ribosomal protein L2, mitochondrial ;39S ribosomal protein L54, mitochondrial ;39S ribosomal protein L14, mitochondrial ;39S ribosomal protein L21, mitochondrial ;39S ribosomal protein L55, mitochondrial ;39S ribosomal protein L10, mitochondrial ;39S ribosomal protein L52, mitochondrial ;39S ribosomal protein L41, mitochondrial ;39S ribosomal protein L50, mitochondrial ;39S ribosomal protein L43, mitochondrial ;39S ribosomal protein L30, mitochondrial ;39S ribosomal protein L24, mitochondrial ;39S ribosomal protein L38, mitochondrial ;39S ribosomal protein L53, mitochondrial ;39S ribosomal protein L48, mitochondrial ;39S ribosomal protein L34, mitochondrial ;39S ribosomal protein L45, mitochondrial ;39S ribosomal protein L32, mitochondrial ;39S ribosomal protein L20, mitochondrial ;39S ribosomal protein L13, mitochondrial ;39S ribosomal protein L9, mitochondrial ;39S ribosomal protein L4, mitochondrial ;39S ribosomal protein L1, mitochondrial ;39S ribosomal protein L37, mitochondrial ;39S ribosomal protein L18, mitochondrial ;39S ribosomal protein L46, mitochondrial ;39S ribosomal protein L44, mitochondrial ;39S ribosomal protein L47, mitochondrial ;39S ribosomal protein L40, mitochondrial ;39S ribosomal protein L17, mitochondrial ;39S ribosomal protein L22, mitochondrial ;39S ribosomal protein L16, mitochondrial ;39S ribosomal protein L39, mitochondrial ;39S ribosomal protein L35, mitochondrial ;39S ribosomal protein L15, mitochondrial ;39S ribosomal protein L36, mitochondrial ;39S ribosomal protein L27, mitochondrial ;39S ribosomal protein L11, mitochondrial ;39S ribosomal protein L42, mitochondrial	MRPL33;MRPL3;MRPL19;MRPL12;LACTB;MRPL28;MRPL49;MRPL23;MRPL51;MRPL2;MRPL54;MRPL14;MRPL21;MRPL55;MRPL10;MRPL52;MRPL41;MRPL50;MRPL43;MRPL30;MRPL24;MRPL38;MRPL53;MRPL48;MRPL34;MRPL45;MRPL32;MRPL20;MRPL13;MRPL9;MRPL4;MRPL1;MRPL37;MRPL18;MRPL46;MRPL44;MRPL47;MRPL40;MRPL17;MRPL22;MRPL16;MRPL39;MRPL35;MRPL15;MRPL36;MRPL27;MRPL11;MRPL42	C2orf1;MRL3 RPML3;KIAA0104 MRPL15;RPML12;MRPL56;MAAT1;C11orf4 NOF1;L23MRP RPL23L;MRP64;;;MRPL32 RPML32;;;MRPL8 RPML8;;BMRP MRPL27 RPML27;;;MRPL28 RPML28;;;;;;;;;;;;;MRPL2 RPML2;;C15orf4 LIECG2;;NCM1;NLVCF URIM;LIP2;MRPL25 RPML25;;C21orf92 MRPL5 RPML5;;;BRIP1;;;MRPL31 MRPS32 RPML31	None	At the time of annotation, about half of the bovine subunits were not found in the UniProt database.	With the exception of MRPL36 and MRPL42, all proteins of the large ribosomal subunit from ribosomes of Bos taurus were identified in a proteomic approach (PMID:11551941).	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
